,Element,Electronegtivity(Pauling Scale)
0,H,2.1
1,Li,0.98
2,Be,1.57
3,B,2.04
4,C,2.55
5,N,3.04
6,O,3.44
7,F,3.98
8,Na,0.93
9,Mg,1.31
10,Al,1.61
11,Si,1.9
12,P,2.19
13,S,2.58
14,Cl,3.16
15,K,0.82
16,Ca,1
17,Sc,1.36
18,Ti,1.54
19,V,1.63
20,Cr,1.66
21,Mn,1.55
22,Fe,1.83
23,Co,1.88
24,Ni,1.91
25,Cu,1.9
26,Zn,1.65
27,Ga,1.81
28,Ge,2.01
29,As,2.18
30,Se,2.55
31,Br,2.96
32,Rb,0.82
33,Sr,0.95
34,Y,1.22
35,Zr,1.33
36,Nb,1.6
37,Mo,2.16
38,Tc,1.9
39,Ru,2.2
40,Rh,2.28
41,Pd,2.2
42,Ag,1.93
43,Cd,1.69
44,In,1.78
45,Sn,1.96
46,Sb,2.05
47,Te,2.1
48,I,2.66
49,Xe,2.6
50,Cs,0.79
51,Ba,0.89
52,La,1.1
53,Hf,1.3
54,Ta,1.5
55,W,2.36
56,Re,1.9
57,Os,2.2
58,Ir,2.2
59,Pt,2.28
60,Au,2.54
61,Hg,2
62,Tl,2.04
63,Pb,2.33
64,Bi,2.02
65,Po,2
66,At,2.2
67,Fr,0.7
68,Ra,0.89
69,Ac,1.1
70,Ce,1.12
71,Pr,1.13
72,Nd,1.14
73,Pm,1.13
74,Sm,1.17
75,Eu,1.2
76,Gd,1.2
77,Tb,1.1
78,Dy,1.22
79,Ho,1.23
80,Er,1.24
81,Tm,1.25
82,Yb,1.1
83,Lu,1.27
84,Th,1.3
85,Pa,1.5
86,U,1.38
87,Np,1.36
88,Pu,1.28
89,Am,1.3
90,Cm,1.3
91,Bk,1.3
92,Cf,1.3
93,Es,1.3
94,Fm,1.3
95,Md,1.3
96,No,1.3